x	y	z	length	width	height	class_name	score
-2.174	5.809	-5.995	0.800	0.800	0.800	desk	0.506
-3.879	3.722	-3.673	0.800	0.800	0.800	chair	0.996
-4.256	5.901	-8.136	0.800	0.800	0.800	bookshelf	0.327
-4.473	4.097	-5.815	0.800	0.800	0.800	desk	0.981
-4.185	4.969	-7.212	0.800	0.800	0.800	bookshelf	0.386
-4.075	5.927	-6.003	0.800	0.800	0.800	desk	0.674
-3.398	3.154	-2.449	0.800	0.800	0.800	bed	0.560
-2.626	3.440	-4.960	0.800	0.800	0.800	desk	0.972
-0.936	1.249	-3.493	0.800	0.800	0.800	tv_stand	0.759
-4.125	4.385	-4.924	0.800	0.800	0.800	desk	0.738
-2.634	4.773	-7.310	0.800	0.800	0.800	bookshelf	0.353
-1.617	3.265	-5.435	0.800	0.800	0.800	desk	0.846
-3.119	5.027	-5.529	0.800	0.800	0.800	tv_stand	0.382
-2.409	4.471	-5.962	0.800	0.800	0.800	bookshelf	0.536
-2.655	3.780	-4.325	0.800	0.800	0.800	chair	0.518
-3.297	3.599	-4.941	0.800	0.800	0.800	desk	0.547
-4.852	5.838	-6.006	0.800	0.800	0.800	desk	0.663
-3.396	4.635	-5.825	0.800	0.800	0.800	desk	0.729
-1.663	3.980	-3.471	0.800	0.800	0.800	chair	0.981
-3.285	1.656	-4.227	0.800	0.800	0.800	tv_stand	0.532
-4.308	4.675	-5.868	0.800	0.800	0.800	desk	0.745
-3.656	4.635	-4.792	0.800	0.800	0.800	desk	0.816
-1.817	2.176	-2.881	0.800	0.800	0.800	bed	0.640
-3.688	2.690	-4.552	0.800	0.800	0.800	chair	0.999
-2.062	1.643	-3.671	0.800	0.800	0.800	desk	0.867
-2.054	2.726	-4.454	0.800	0.800	0.800	desk	0.662
-1.176	3.184	-3.368	0.800	0.800	0.800	bed	0.386
-3.928	4.727	-6.328	0.800	0.800	0.800	desk	0.510
-4.179	5.387	-5.827	0.800	0.800	0.800	desk	0.615
-2.331	4.413	-5.081	0.800	0.800	0.800	desk	0.699
-3.160	3.261	-4.849	0.800	0.800	0.800	desk	0.873
-2.355	5.321	-5.843	0.800	0.800	0.800	bookshelf	0.559
-2.910	4.736	-4.927	0.800	0.800	0.800	tv_stand	0.580
-3.704	4.369	-4.482	0.800	0.800	0.800	desk	0.726
-3.220	1.893	-3.378	0.800	0.800	0.800	sofa	0.506
-1.459	2.352	-3.902	0.800	0.800	0.800	desk	0.710
-2.678	1.865	-2.802	0.800	0.800	0.800	bed	0.964
-2.452	0.378	-2.482	0.800	0.800	0.800	bed	0.874
-3.930	3.636	-5.863	0.800	0.800	0.800	desk	0.910
-2.996	4.714	-6.574	0.800	0.800	0.800	desk	0.378
-2.838	3.249	-3.780	0.800	0.800	0.800	sofa	0.672
-4.852	4.619	-6.146	0.800	0.800	0.800	desk	0.578
-1.879	4.024	-3.816	0.800	0.800	0.800	desk	0.948
-2.832	2.543	-3.985	0.800	0.800	0.800	desk	0.972
-2.938	3.791	-5.174	0.800	0.800	0.800	desk	0.993
-4.650	3.548	-5.698	0.800	0.800	0.800	desk	0.810
-1.841	2.450	-4.092	0.800	0.800	0.800	desk	0.838
-4.916	4.925	-5.750	0.800	0.800	0.800	tv_stand	0.367
-2.098	1.711	-3.248	0.800	0.800	0.800	sofa	0.430
-4.426	3.620	-4.260	0.800	0.800	0.800	chair	0.999
-4.296	5.477	-7.766	0.800	0.800	0.800	bookshelf	0.332
-3.603	3.873	-4.879	0.800	0.800	0.800	desk	0.943
-2.548	2.511	-3.593	0.800	0.800	0.800	chair	0.892
-3.784	3.996	-5.616	0.800	0.800	0.800	desk	0.988
-3.784	3.245	-4.937	0.800	0.800	0.800	desk	0.500
-0.615	1.110	-1.364	0.800	0.800	0.800	bed	0.726
-3.597	5.540	-5.827	0.800	0.800	0.800	desk	0.672
-2.823	4.447	-5.805	0.800	0.800	0.800	desk	0.665
-4.877	4.069	-5.846	0.800	0.800	0.800	desk	0.849
-2.631	4.176	-4.247	0.800	0.800	0.800	desk	0.773
-2.282	4.308	-4.975	0.800	0.800	0.800	tv_stand	0.666
-4.544	3.791	-5.363	0.800	0.800	0.800	desk	0.919
-3.042	4.022	-3.988	0.800	0.800	0.800	tv_stand	0.624
-2.192	0.894	-3.227	0.800	0.800	0.800	sofa	0.804
-4.212	3.356	-4.929	0.800	0.800	0.800	chair	0.918
-4.164	4.731	-6.875	0.800	0.800	0.800	bookshelf	0.318
-2.035	3.542	-5.157	0.800	0.800	0.800	desk	0.982
-3.678	3.505	-6.034	0.800	0.800	0.800	desk	0.804
-2.684	2.693	-4.397	0.800	0.800	0.800	desk	0.990
-2.946	4.904	-5.770	0.800	0.800	0.800	desk	0.526
-3.084	4.218	-4.990	0.800	0.800	0.800	desk	0.991
-2.751	3.215	-4.747	0.800	0.800	0.800	desk	0.981
-3.468	4.269	-5.987	0.800	0.800	0.800	desk	0.572
-4.865	4.126	-5.377	0.800	0.800	0.800	desk	0.641
-3.022	2.439	-4.284	0.800	0.800	0.800	desk	0.752
-3.308	3.978	-5.319	0.800	0.800	0.800	desk	0.981
-2.068	4.121	-4.488	0.800	0.800	0.800	chair	0.891
